place_name,address_name,road_address_name,x,y
IBK기업은행365 우성파워텍,대구 달성군 구지면 예현리 768-20,대구 달성군 구지면 달성2차1로 91,128.427821973696,35.6311784443514
IBK기업은행 대구국가산업단지,대구 달성군 구지면 내리 845-2,대구 달성군 구지면 달성2차로 125,128.42013850129513,35.64006859015145
iM뱅크 대구국가산단지점,대구 달성군 구지면 응암리 1243-2,대구 달성군 구지면 국가산단대로 213,128.41724560895983,35.648482007807544
기업은행 대구국가산업단지점365 ATM,대구 달성군 구지면 내리 845-2,대구 달성군 구지면 달성2차로 125,128.42011013479024,35.640150032490176
하나은행365 KB와이퍼시스템,대구 달성군 구지면 응암리 1244-4,대구 달성군 구지면 국가산단대로33길 10,128.415649556067,35.6462567991363
하나은행365 엘앤에프본관로비,대구 달성군 구지면 응암리 1283,대구 달성군 구지면 국가산단대로40길 111,128.428757345927,35.6492453664114
하나은행365 중앙119구조본부,대구 달성군 구지면 수리리 1297,대구 달성군 구지면 구지서로 1,128.38861655198758,35.66202894089714
구지새마을금고 본점,대구 달성군 구지면 창리 371-3,대구 달성군 구지면 창리로11길 58-7,128.41419017858155,35.659671143282004
CU ATM 구지유보라점,대구 달성군 구지면 화산리 1105,대구 달성군 구지면 국가산단북로34길 10,128.4094769260976,35.66242008679415
우리은행 ATM,대구 달성군 구지면 응암리 1178,대구 달성군 구지면 과학마을로2길 6,128.4158939206006,35.65547317401654
CU 구지원룸점 ATM,대구 달성군 구지면 응암리 1201-5,대구 달성군 구지면 과학마을로3길 11-16,128.41843505141432,35.65705460482496
롯데ATM 세븐일레븐 달성구지원룸(CD),대구 달성군 구지면 응암리 1212-4,대구 달성군 구지면 과학마을로4길 57,128.418928632008,35.6548696970272
CU ATM 테크노미소점,대구 달성군 현풍읍 대리 496,,128.432436283425,35.6675463667206
NH농협은행 365코너 유가농협,대구 달성군 유가읍 유곡리 811,대구 달성군 유가읍 비슬로64길 43,128.44861909706,35.6720389243078
롯데ATM 세븐일레븐 달성유가골드,대구 달성군 유가읍 금리 1149-7,,128.455765998248,35.6736902044844
하나은행365 상신브레이크,대구 달성군 유가읍 상리 922-1,대구 달성군 유가읍 테크노중앙대로 90,128.459991485438,35.6791398839638
IBK기업은행365 대영코어텍,대구 달성군 유가읍 금리 1157,대구 달성군 유가읍 테크노순환로8길 8,128.464515767095,35.6801158830803
롯데ATM 세븐일레븐 대구현풍대로,대구 달성군 현풍읍 원교리 161,대구 달성군 현풍읍 비슬로 581,128.44442308059772,35.69058805641584
KB국민은행 달성종합금융센터,대구 달성군 현풍읍 중리 509-7,대구 달성군 현풍읍 테크노대로 54,128.45271183416847,35.68884002688246
BNK경남은행 현풍지점,대구 달성군 현풍읍 중리 491-2,대구 달성군 현풍읍 테크노중앙대로 243,128.45739150169467,35.69213766996882
