place_name,address_name,road_address_name,x,y
롯데ATM 세븐일레븐 서귀포모슬포항,제주특별자치도 서귀포시 대정읍 하모리 2133-5,제주특별자치도 서귀포시 대정읍 최남단해안로 44,126.252142085292,33.2166684156565
제주은행 모슬포지점,제주특별자치도 서귀포시 대정읍 하모리 1048-1,제주특별자치도 서귀포시 대정읍 신영로 75,126.25082133387224,33.220985513769094
남제주새마을금고 본점,제주특별자치도 서귀포시 대정읍 하모리 827-1,제주특별자치도 서귀포시 대정읍 영서중로 5-6,126.25413829469258,33.2214706756033
대정농협 365일자동코너,제주특별자치도 서귀포시 대정읍 하모리 947,제주특별자치도 서귀포시 대정읍 하모중앙로 70,126.251822657238,33.2219355290571
남제주새마을금고 본점 점두365ATM,제주특별자치도 서귀포시 대정읍 하모리 827-1,제주특별자치도 서귀포시 대정읍 영서중로 5-6,126.25413829469258,33.2214706756033
롯데ATM 세븐일레븐 서귀포대정상모,제주특별자치도 서귀포시 대정읍 상모리 4133-7,,126.25699499868,33.2196836379731
롯데ATM 세븐일레븐 서귀포대정사거리,제주특별자치도 서귀포시 대정읍 하모리 1415-5,,126.252729369949,33.2263192142117
롯데ATM 세븐일레븐 서귀포상모로,제주특별자치도 서귀포시 대정읍 상모리 3790,,126.260034617713,33.2235498439647
CU서귀사계포구점 ATM,제주특별자치도 서귀포시 안덕면 사계리 2147-3,제주특별자치도 서귀포시 안덕면 형제해안로 24,126.304029244113,33.2279259274039
롯데ATM 세븐일레븐 서귀포안덕사계,제주특별자치도 서귀포시 안덕면 사계리 2674-2,제주특별자치도 서귀포시 안덕면 사계남로21번길 30-5,126.296351572122,33.2312403577034
하나은행365 플레이사계,제주특별자치도 서귀포시 안덕면 사계리 126-1,제주특별자치도 서귀포시 안덕면 사계남로216번길 29,126.310356468081,33.2338144629234
CU ATM 서귀예래점,제주특별자치도 서귀포시 하예동 1831,제주특별자치도 서귀포시 예래로 446,126.370379280677,33.2357123907926
예래동새마을금고 본점,제주특별자치도 서귀포시 상예동 1253-1,제주특별자치도 서귀포시 열리로 80,126.39025218393512,33.24703117031171
예래동새마을금고 본점 점두365ATM,제주특별자치도 서귀포시 상예동 1253-1,제주특별자치도 서귀포시 열리로 80,126.39025218393512,33.24703117031171
NH농협은행 365코너 중문농협예래지점,제주특별자치도 서귀포시 상예동 1240-1,제주특별자치도 서귀포시 상예로 4-2,126.391109903586,33.2471327476062
우리은행 365코너 서귀포지점(점외),제주특별자치도 서귀포시 중문동 2700-2,제주특별자치도 서귀포시 중문관광로 222,126.42302513753776,33.242555889896586
대포새마을금고 본점,제주특별자치도 서귀포시 대포동 1867-1,제주특별자치도 서귀포시 대포로 79,126.43221570437686,33.24280916394421
대포새마을금고 본점 점두365ATM,제주특별자치도 서귀포시 대포동 1867-1,제주특별자치도 서귀포시 대포로 79,126.43221570437356,33.242809164020606
강정새마을금고 본점,제주특별자치도 서귀포시 강정동 4416-4,제주특별자치도 서귀포시 이어도로 567,126.4775648715398,33.23657480411101
NH농협은행 365코너 중문농협강정지점,제주특별자치도 서귀포시 강정동 4521-18,제주특별자치도 서귀포시 이어도로 594,126.48004809581305,33.23540046978671
CU ATM 서귀강정천점,제주특별자치도 서귀포시 강정동 2881-6,제주특별자치도 서귀포시 이어도로 638,126.484297133016,33.2338745701391
CU ATM 제주풍림리조트점,제주특별자치도 서귀포시 강정동 2677,제주특별자치도 서귀포시 이어도로 684,126.489040391249,33.233677752728
법환새마을금고 본점,제주특별자치도 서귀포시 법환동 262,제주특별자치도 서귀포시 이어도로 930-1,126.5138630616906,33.23802210830601
법환새마을금고 본점 점두365ATM,제주특별자치도 서귀포시 법환동 262,제주특별자치도 서귀포시 이어도로 930-1,126.5138630616906,33.23802210830601
IBK기업은행365 대국해저앞,제주특별자치도 서귀포시 서홍동 707-5,제주특별자치도 서귀포시 남성중로 40,126.559018151885,33.2395680810314
CU 서귀포천지연점 ATM,제주특별자치도 서귀포시 서홍동 678,제주특별자치도 서귀포시 남성중로 2-3,126.55968363039344,33.243370814447744
CU 서귀포부두점 ATM,제주특별자치도 서귀포시 서귀동 673,제주특별자치도 서귀포시 칠십리로 61,126.56275928122815,33.24004923483207
IBK기업은행365 천지연주차장,제주특별자치도 서귀포시 서홍동 666-1,제주특별자치도 서귀포시 남성중로 2-15,126.559670425145,33.2447205092909
CU 서귀포항점 ATM,제주특별자치도 서귀포시 서귀동 777-1,제주특별자치도 서귀포시 칠십리로91번길 12,126.56427475893024,33.24103733133972
롯데ATM 세븐일레븐 서귀포여객터미,제주특별자치도 서귀포시 서귀동 758-4,,126.56487117114,33.2389034535817
KB국민은행 서귀포,제주특별자치도 서귀포시 서귀동 293-17,제주특별자치도 서귀포시 중정로 55,126.56222345614002,33.24788252417662
서귀포동부새마을금고 본점,제주특별자치도 서귀포시 서귀동 608-4,제주특별자치도 서귀포시 솔동산로 12,126.56390530153011,33.24370216056103
NH농협은행 남제주지점,제주특별자치도 서귀포시 서귀동 401-11,제주특별자치도 서귀포시 중정로 86,126.56545625451956,33.24816164569882
제주은행 서귀포SOHO컨설팅센터,제주특별자치도 서귀포시 서귀동 274-5,제주특별자치도 서귀포시 중정로 67,126.563477583089,33.248152913386
하나은행365 서귀포수련원,제주특별자치도 서귀포시 서귀동 529-3,제주특별자치도 서귀포시 태평로439번길 25,126.564526584807,33.2465120164204
서귀포동부새마을금고 본점 점두365ATM,제주특별자치도 서귀포시 서귀동 608-4,제주특별자치도 서귀포시 솔동산로 12,126.56391283031624,33.243698580433374
KB국민은행 서귀포점 ATM,제주특별자치도 서귀포시 서귀동 293-17,제주특별자치도 서귀포시 중정로 55,126.562223456137,33.2478825242529
CU 서귀포송산점 ATM,제주특별자치도 서귀포시 서귀동 573-11,제주특별자치도 서귀포시 태평로 414,126.56454332842615,33.24465020705017
우체국365코너,제주특별자치도 서귀포시 서귀동 529-3,제주특별자치도 서귀포시 태평로439번길 25,126.564591998608,33.2465203601168
CU ATM 서귀포태평로점,제주특별자치도 서귀포시 서귀동 455-4,제주특별자치도 서귀포시 태평로 385,126.561816144412,33.2447821851147
농협은행 남제주지점 ATM,제주특별자치도 서귀포시 서귀동 401-11,제주특별자치도 서귀포시 중정로 86,126.56545625451706,33.24816164577512
CU 서귀포월드컵점 ATM,제주특별자치도 서귀포시 서귀동 417-2,제주특별자치도 서귀포시 명동로 19-1,126.56407323866712,33.24748238612033
CU 서귀정방점 ATM,제주특별자치도 서귀포시 서귀동 221-12,제주특별자치도 서귀포시 태평로 463,126.56866506401497,33.24764896823527
롯데ATM 제주은행 서귀칼호텔,제주특별자치도 서귀포시 토평동 486-3,,126.581363552152,33.2462957327351
CU ATM 서귀영락해안도로점,제주특별자치도 서귀포시 대정읍 영락리 2167,제주특별자치도 서귀포시 대정읍 노을해안로 288,126.2003503696,33.2487465241515
CU ATM 제주안성점,제주특별자치도 서귀포시 대정읍 안성리 1447-10,,126.28411895761,33.2504867374217
