place_name,address_name,road_address_name,x,y
NH농협은행 365코너 장항지점,충남 서천군 장항읍 신창리 399,충남 서천군 장항읍 장산로 149,126.679608226457,36.0113795773181
우리은행 365코너 퍼시픽글라스,충남 서천군 장항읍 신창리 303-18,충남 서천군 장항읍 신창서로 29,126.685677752722,36.0103321877226
NH농협은행 장항지점,충남 서천군 장항읍 창선2리 603-2,충남 서천군 장항읍 장항로 177-2,126.69734750266514,36.01133282414882
서천군새마을금고 본점,충남 서천군 장항읍 창선2리 560-1,충남 서천군 장항읍 장서로 51,126.6983681598256,36.01245832547415
CU ATM 장항신창점,충남 서천군 장항읍 신창리 146-13,충남 서천군 장항읍 장항로 137,126.692887577022,36.0115260662953
농협은행 장항지점 ATM,충남 서천군 장항읍 창선2리 603-2,충남 서천군 장항읍 장항로 177-2,126.6973475026633,36.01133282417838
CU 장항점 ATM,충남 서천군 장항읍 창선1리 220-1,충남 서천군 장항읍 장항로180번길 2,126.69732807395808,36.01090198804696
롯데ATM 세븐일레븐 충남장항B,충남 서천군 장항읍 창선1리 220-1,충남 서천군 장항읍 장항로180번길 2,126.69732696128,36.010902886497
CU 장항팰리스점 ATM,충남 서천군 장항읍 창선2리 330,충남 서천군 장항읍 장서로 64-1,126.69885861886894,36.01358158665126
CU ATM 장항창선점,충남 서천군 장항읍 창선1리 45,충남 서천군 장항읍 장항로 202,126.699905702936,36.0106750467629
NH농협은행 365코너 서천축협장항지소,충남 서천군 장항읍 창선2리 394-55,충남 서천군 장항읍 성주로 12,126.701370622929,36.0116592393541
CU 금강하구유원지점 ATM,충남 서천군 마서면 도삼리 73-9,충남 서천군 마서면 장산로 855,126.73743058634284,36.0189074651299
NH농협은행 365코너 금산농협남이지점,충남 금산군 남이면 하금리 291-4,충남 금산군 남이면 진악로 21,127.436183429165,36.0475534961448
NH농협은행 365코너 금산농협남일지점,충남 금산군 남일면 초현리 316-9,충남 금산군 남일면 하초현3길 8,127.50415654775,36.0438803375982
하나은행 서천지점,충남 서천군 서천읍 군사리 866-4,충남 서천군 서천읍 군청로 7,126.69015526599487,36.07559330014674
NH농협은행 서천군지부,충남 서천군 서천읍 군사리 519-1,충남 서천군 서천읍 서천로 74,126.69169114828958,36.07715997317721
서천군새마을금고 서천지점,충남 서천군 서천읍 군사리 513-1,충남 서천군 서천읍 군청로 25,126.69070784630014,36.07708083620815
하나은행 서천 ATM,충남 서천군 서천읍 군사리 866-4,충남 서천군 서천읍 군청로 7,126.690173021133,36.0755951485098
하나은행365 서천 ATM,충남 서천군 서천읍 군사리 866-4,충남 서천군 서천읍 군청로 7,126.690173021133,36.0755951485098
CU 서천사거리점 ATM,충남 서천군 서천읍 군사리 515-1,충남 서천군 서천읍 군청로 24-3,126.69103363408894,36.07695099984883
