place_name,address_name,road_address_name,x,y
영동새마을금고 양산지점,충북 영동군 양산면 가곡리 11-6,충북 영동군 양산면 송호로 6,127.66798005810942,36.124574367162936
NH농협은행365코너 학산농협양산지점,충북 영동군 양산면 가곡리 173-2,충북 영동군 양산면 금강로 1510,127.667858832406,36.1237702748365
묵정새마을금고 본점,충북 영동군 양강면 묵정리 377,충북 영동군 양강면 학산영동로 338,127.71023432270718,36.128130720508274
영동새마을금고 상촌지점,충북 영동군 상촌면 임산리 328-3,충북 영동군 상촌면 임산5길 3,127.91446135753412,36.15005462561108
영동새마을금고 본점,충북 영동군 영동읍 계산리 688-22,충북 영동군 영동읍 중앙로 20-1,127.775983334262,36.17417353792422
CU ATM 영동부용리점,충북 영동군 영동읍 부용리 88-2,충북 영동군 영동읍 학산영동로 1177-1,127.769047139765,36.168676920104
영동새마을금고 본점 점두365ATM,충북 영동군 영동읍 계산리 688-22,충북 영동군 영동읍 중앙로 20-1,127.77598333426673,36.174173537951226
CU 영동중앙점 ATM,충북 영동군 영동읍 계산리 694-31,충북 영동군 영동읍 중앙로 23-1,127.77610510102689,36.17468642246291
NH농협은행 영동군지부,충북 영동군 영동읍 계산리 684-27,충북 영동군 영동읍 계산로 9,127.77853451178795,36.17498606237351
NH농협은행 영동군청 출장소,충북 영동군 영동읍 계산리 210-1,충북 영동군 영동읍 동정로 1,127.78264479318987,36.174525794197
농협은행 영동군지부 ATM,충북 영동군 영동읍 계산리 684-27,충북 영동군 영동읍 계산로 9,127.77853562324452,36.17498605517272
CU 영동설계점 ATM,충북 영동군 영동읍 설계리 696-3,충북 영동군 영동읍 눈어치2로 9,127.77920123442031,36.18607886870231
KB국민은행ATM 영동대(본관),충북 영동군 영동읍 산 12,,127.860953850513,36.1877978620233
KB국민은행ATM 영동대학교 복지관,충북 영동군 영동읍 설계리 12-1,충북 영동군 영동읍 대학로 310,127.799183205395,36.196098903238
하나은행365 영동대학교명현관,충북 영동군 영동읍 설계리 54,충북 영동군 영동읍 대학로 310,127.800128520656,36.1947047742319
CU 영동황간점 ATM,충북 영동군 황간면 마산리 43-24,충북 영동군 황간면 영동황간로 1682,127.91168276709658,36.22519108823344
이원새마을금고 본점,충북 옥천군 이원면 건진리 173-2,충북 옥천군 이원면 묘목로 122,127.61998262381483,36.24730226784055
NH농협은행 365코너 이원농협간이지소,충북 옥천군 이원면 강청리 80-20,충북 옥천군 이원면 신흥길 1,127.620041408728,36.2462935421564
이원신협 ATM365,충북 옥천군 이원면 강청리 79-9,충북 옥천군 이원면 신흥길 5-2,127.620533134089,36.2461504083269
이원농협ATM 본점,충북 옥천군 이원면 강청리 80-20,충북 옥천군 이원면 신흥길 1,127.62009637487,36.2464915169844
이원새마을금고 본점 점두365ATM,충북 옥천군 이원면 건진리 173-2,충북 옥천군 이원면 묘목로 122,127.619982623819,36.2473022678664
IBK기업은행365 인지컨트롤스,충북 옥천군 이원면 건진리 442-7,충북 옥천군 이원면 이원농공로 70,127.608492139513,36.2518969094674
옥천농협ATM 동이지점,충북 옥천군 동이면 평산리 999-1,충북 옥천군 동이면 평산4길 20,127.620822207024,36.2825420764506
이원새마을금고 365코너 원마트지점,충북 옥천군 옥천읍 마암리 48,충북 옥천군 옥천읍 마장로 17,127.57017986657,36.2928982644386
CU ATM 구일휴게소점,충북 옥천군 옥천읍 매화리 53-4,충북 옥천군 옥천읍 옥천동이로 264,127.600525670867,36.2983874512743
KB국민은행 옥천(점),충북 옥천군 옥천읍 금구리 160-5,충북 옥천군 옥천읍 중앙로 33,127.56805812785532,36.30042687199061
NH농협은행 옥천군지부,충북 옥천군 옥천읍 삼양리 222-174,충북 옥천군 옥천읍 삼양로 92,127.56938821013324,36.30313848830402
옥천새마을금고 본점,충북 옥천군 옥천읍 금구리 171-6,충북 옥천군 옥천읍 금장로 27,127.56738366045565,36.30199181098288
한성저축은행 영업부,충북 옥천군 옥천읍 금구리 158-4,충북 옥천군 옥천읍 중앙로 32,127.56832837677663,36.30008043758518
IBK기업은행365 국제종합기계,충북 옥천군 옥천읍 양수리 11-1,충북 옥천군 옥천읍 서부로 49,127.564098099722,36.2988856870361
KB국민은행 옥천점 ATM,충북 옥천군 옥천읍 금구리 160-5,충북 옥천군 옥천읍 중앙로 33,127.568058127859,36.3004268720156
KB국민은행ATM 옥천점,충북 옥천군 옥천읍 금구리 160-5,충북 옥천군 옥천읍 중앙로 33,127.568085783341,36.3004024088855
CU 옥천역전점 ATM,충북 옥천군 옥천읍 금구리 135-2,충북 옥천군 옥천읍 중앙로 4,127.56646616001808,36.2982815174027
옥천농협ATM 본점,충북 옥천군 옥천읍 금구리 164-12,충북 옥천군 옥천읍 삼금로 21,127.5668976029662,36.30082619390038
산림조합 옥천-ATM02,충북 옥천군 옥천읍 금구리 172-59,충북 옥천군 옥천읍 금장로 29,127.56767477674128,36.30191202685474
옥천새마을금고 본점 점두365ATM,충북 옥천군 옥천읍 금구리 171-6,충북 옥천군 옥천읍 금장로 27,127.56738366045911,36.3019918110079
보은옥천영동축산농협ATM 옥천지점,충북 옥천군 옥천읍 금구리 171,충북 옥천군 옥천읍 금장로 25,127.567197888008,36.302320720147
IBK기업은행365 옥천동화약국,충북 옥천군 옥천읍 금구리 5-70,충북 옥천군 옥천읍 삼금로 41,127.568110984802,36.3020352182069
CU ATM 옥천점,충북 옥천군 옥천읍 삼양리 222-274,충북 옥천군 옥천읍 중앙로11길 2,127.569677858794,36.3025504438037
농협은행 옥천군지부 ATM,충북 옥천군 옥천읍 삼양리 222-174,충북 옥천군 옥천읍 삼양로 92,127.56938821013324,36.30313848830402
기업은행 제이마트 옥천점 ATM,충북 옥천군 옥천읍 금구리 2-3,충북 옥천군 옥천읍 관성로 5,127.57083947089563,36.30290987884266
IBK기업은행 옥천,충북 옥천군 옥천읍 금구리 93-7,충북 옥천군 옥천읍 문장로 72-1,127.5754563426957,36.29894330405877
NH농협은행 옥천군청 출장소,충북 옥천군 옥천읍 삼양리 174,충북 옥천군 옥천읍 중앙로 99,127.57158751628148,36.30609646194589
이원새마을금고 옥천지점,충북 옥천군 옥천읍 장야리 276-7,충북 옥천군 옥천읍 금장로 117,127.575699626705,36.29796255557229
IBK기업은행365 옥천점,충북 옥천군 옥천읍 금구리 93-7,충북 옥천군 옥천읍 문장로 72-1,127.57544517043424,36.29893795078152
이원새마을금고 옥천지점 점두365ATM,충북 옥천군 옥천읍 장야리 276-7,충북 옥천군 옥천읍 금장로 117,127.5756996267085,36.29796255559737
CU옥천문정주공점 ATM,충북 옥천군 옥천읍 문정리 361-5,충북 옥천군 옥천읍 문장로3길 8-4,127.5768692635951,36.30108038989229
옥천농협 ATM,충북 옥천군 옥천읍 문정리 439,충북 옥천군 옥천읍 동부로 15,127.574638280089,36.306408061991
IBK기업은행365 옥천향수휴게소,충북 옥천군 옥천읍 삼양리 121-2,,127.572373180436,36.3075661224446
옥천농협ATM 상계지점,충북 옥천군 옥천읍 상계리 96-3,충북 옥천군 옥천읍 향수3길 30,127.580706017664,36.3152273597836
옥천농협ATM 군북지점,충북 옥천군 군북면 이백리 348,충북 옥천군 군북면 이백2길 7,127.533563492109,36.3290746197466
옥천새마을금고 안남지점,충북 옥천군 안남면 연주리 70-18,충북 옥천군 안남면 연주길 27-8,127.67418896161236,36.35716439680168
옥천새마을금고 본점 점외365ATM,충북 옥천군 안남면 연주리 70-18,충북 옥천군 안남면 연주길 27-8,127.6743165735027,36.357105101206095
청산농협 안내지점 ATM,충북 옥천군 안내면 현리 101-1,충북 옥천군 안내면 현리3길 7-1,127.66087964142,36.3933797435606
IBK기업은행365 진미,충북 보은군 삼승면 우진리 546,충북 보은군 삼승면 농공단지길 23,127.72920937809,36.4199265165043
CU ATM 우진플라임점,충북 보은군 장안면 봉비리 793,충북 보은군 장안면 우진플라임로 55,127.806494388492,36.4614803458956
현도단위농업협동조합,충북 청주시 서원구 현도면 선동리 482,충북 청주시 서원구 현도면 선동1길 4,127.4243536192196,36.4857003503284
금강새마을금고 본점,충북 청주시 서원구 현도면 선동리 502-5,충북 청주시 서원구 현도면 청남로 357,127.42346427253813,36.486945298770166
현도농협ATM 본점,충북 청주시 서원구 현도면 선동리 482,충북 청주시 서원구 현도면 선동1길 4,127.42438300737332,36.48576873347207
새마을금고ATM 현도지점,충북 청주시 서원구 현도면 선동리 502-5,충북 청주시 서원구 현도면 청남로 357,127.42346539340971,36.48694619596745
보은새마을금고 회인지점,충북 보은군 회인면 중앙리 82-3,충북 보은군 회인면 회인로 39,127.59749168534802,36.49117239943995
NH농협은행 보은군지부,충북 보은군 보은읍 삼산리 155-5,충북 보은군 보은읍 보은로 127,127.71763479598434,36.48546839335504
보은새마을금고 본점,충북 보은군 보은읍 삼산리 143-41,충북 보은군 보은읍 삼산로 24-2,127.71938078553224,36.48421070235372
보은새마을금고 삼산지점,충북 보은군 보은읍 삼산리 31-11,충북 보은군 보은읍 삼산남로 32,127.7191807101985,36.48272683003328
산림조합 보은중앙지소-ATM02,충북 보은군 보은읍 삼산리 131-7,충북 보은군 보은읍 삼산로 44,127.717533082969,36.4833936801979
CU ATM 보은신제일점,충북 보은군 보은읍 삼산리 158-2,충북 보은군 보은읍 보은로 110,127.718059602794,36.4838564021877
보은농협 하나로마트지점 ATM,충북 보은군 보은읍 교사리 54-4,충북 보은군 보은읍 보은로 143,127.717364720493,36.4869190497255
보은새마을금고 삼산지점 점내ATM,충북 보은군 보은읍 삼산리 31-12,충북 보은군 보은읍 삼산남로 32-1,127.71911246036808,36.48270741628814
보은새마을금고 본점 점두365ATM,충북 보은군 보은읍 삼산리 143-41,충북 보은군 보은읍 삼산로 24-2,127.71938078553224,36.48421070235372
NH농협은행 보은군청 출장소,충북 보은군 보은읍 이평리 45,충북 보은군 보은읍 군청길 38,127.72974795342412,36.48970326889128
KB국민은행 보은D마트 365자동화점 ATM,충북 보은군 보은읍 삼산리 8-5,충북 보은군 보은읍 남부로 4505,127.72154905565216,36.48493474241271
CU 보은터미널점 ATM,충북 보은군 보은읍 삼산리 200-2,충북 보은군 보은읍 삼산남로 8,127.72178685816452,36.48314183869385
CU 보은이평점 ATM,충북 보은군 보은읍 이평리 173,충북 보은군 보은읍 뱃들로 47,127.7248689579159,36.48660966297307
신한은행ATM 현도산업단지,충북 청주시 서원구 현도면 중삼리 52,,127.4180449276876,36.50582010783867
하나은행365 꽃동네현도사회복지대학교도서관,충북 청주시 서원구 현도면 상삼리 387,충북 청주시 서원구 현도면 상삼길 133,127.401442790043,36.5226718550548
IBK기업은행365 점외365토탈위탁(충청),충북 청주시 서원구 현도면 상삼리 387,충북 청주시 서원구 현도면 상삼길 133,127.401512937393,36.5226346718623
청남농협ATM 두모지점,충북 청주시 상당구 문의면 두모리 161-4,충북 청주시 상당구 문의면 덕유남계로 394,127.46763031858649,36.51605691899126
청남농협ATM 문의지점,충북 청주시 상당구 문의면 미천리 228-89,충북 청주시 상당구 문의면 문의시내로 33,127.49746741501257,36.516156867697376
CU 남청주IC점 ATM,충북 청주시 서원구 남이면 부용외천리 625,충북 청주시 서원구 남이면 청남로 930,127.42746858311934,36.53569400533021
보은새마을금고 보은속리산지점,충북 보은군 속리산면 사내리 280-1,충북 보은군 속리산면 법주사로 262,127.82244911134768,36.53119203099072
CU ATM 보은속리산점,충북 보은군 속리산면 사내리 283-2,충북 보은군 속리산면 법주사로 235-1,127.820320008113,36.5297351552328
보은새마을금고 보은속리산지점 점두365ATM,충북 보은군 속리산면 사내리 280-1,충북 보은군 속리산면 법주사로 260-1,127.82237481079882,36.53113487128101
하나은행365 세레니티CC,충북 청주시 서원구 남이면 산막리 산 122,충북 청주시 서원구 남이면 문곡구절골길 235,127.391821115317,36.5459777707796
